ACCESSIONNUMBER	SIGNATURE_SEQ_KEY	ISSUERNAME	SIGNATURENAME	NAMEOFSIGNER	SIGNATURETITLE	SIGNATUREDATE
0001765103-19-000001	101	HSRE-BRIDGEWOOD REIT, LLC	/s/ Stephen M. Gordon	Stephen M. Gordon	Manager	2019-01-18
0000919574-19-000487	101	Astignes Asia Rates Fund Ltd.	/s/ Alistair Boyd	Alistair Boyd	Director	2019-01-18
0001765110-19-000001	101	HSRE-DC REIT, LLC	/s/ Stephen M. Gordon	Stephen M. Gordon	Manager	2019-01-18
0001764955-19-000001	101	CROSSHARBOR INSTITUTIONAL PARTNERS, L.P.	/S/ Patrick H. O'Sullivan	Patrick H. O'Sullivan	CFO of the GP of the GP of Issuer	2019-01-17
0001468225-19-000003	101	Alight Capital Onshore Fund, L.P.	Dipak M. Patel	Dipak M. Patel	Principal	2019-01-18
0000950103-19-000728	101	States Title Holding, Inc.	/s/ Maxwell Simkoff	Maxwell Simkoff	President and Chief Executive Officer	2019-01-18
0001315863-19-000066	101	APriori Investment Partners Fund LP	/s/David Ryan Brumberg	David Ryan Brumberg	Managing Member of the General Partner	2019-01-18
0001661957-19-000002	101	Vavotar Life Sciences LLC	Charles Farrahar	Charles Farrahar	CFO	2019-01-18
0001363397-19-000001	101	1837 Partners L.P.	/s/ Frances Tuite	Frances Tuite	Manager of Issuer's General Partner	2019-01-18
0001581502-19-000001	101	Avincel Group, Inc.	/s/ Aymeric Vigneras	Aymeric Vigneras	President	2019-01-18
0001468225-19-000002	101	Adelante Global Property Securities Fund LP	Michael A. Torres	Michael A. Torres	Manager of the Issuer's General Partner	2019-01-18
0001765144-19-000002	101	West Hill Global, LLC	Nicholas Broder	Nicholas Broder	Attorney-in-fact	2019-01-18
0001468225-19-000001	101	EM Plus CEF Fund	Thomas W. Griffith	Thomas W. Griffith	Director of the Investment Manager of the Issuer	2019-01-18
0001677225-19-000001	101	Peloton Cold Brew, LLC	David Jones	David Jones	Manager	2019-01-17
0001765211-19-000001	101	Cardinal Student Housing I REIT LLC	Jason Luker	Jason Luker	President	2019-01-18
0001694118-19-000001	101	LUNIA PARTNERS LP	Yatrik Munshi	Yatrik Munshi	Chief Compliance Officer of the General Partner of Issuer	2019-01-18
0001756357-19-000001	101	Private Debt SMA (NST) SLP	/s/ William Jones	William Jones	Director of the Issuer's General Partner	2018-10-15
0001730215-19-000001	101	RSN ENTERTAINMENT LTD	Sulim Malook	Sulim Malook	Director	2019-01-18
0000902664-19-000318	101	Parvus European Absolute Opportunities Fund L.P.	/s/ Andrew Galloway	Andrew Galloway	Director of the General Partner	2019-01-18
0000902664-19-000317	101	Caeruleus Fund	/s/ Andrew Galloway	Andrew Galloway	Director	2019-01-18
0000902664-19-000316	101	Orange Partners Fund	/s/ Andrew Galloway	Andrew Galloway	Director	2019-01-18
0000902664-19-000315	101	Parvus European Absolute Opportunities Fund	/s/ Andrew Galloway	Andrew Galloway	Director	2019-01-18
0000902664-19-000314	101	PARVUS EUROPEAN OPPORTUNITIES FUND	/s/ Andrew Galloway	Andrew Galloway	Director	2019-01-18
0000902664-19-000313	101	PARVUS EUROPEAN OPPORTUNITIES FUND LP	/s/ Andrew Galloway	Andrew Galloway	Director of the General Partner	2019-01-18
0000902664-19-000312	101	Everett Opportunities Fund LP	/s/ Philip Dickie	Philip Dickie	Director of the General Partner of the LP	2019-01-18
0000902664-19-000311	101	Everett Opportunities Fund Ltd	/s/ Philip Dickie	Philip Dickie	Director	2019-01-18
0001669504-19-000001	101	Misaki Engagement Fund II Ltd	Masaki Gotoh	Masaki Gotoh	Director of the Issuer	2019-01-17
0001765193-19-000001	101	Eagle Rock Capital LLC	Edward Sykes	Edward Sykes	Director	2019-01-17
0001668069-19-000001	101	GENOMEDX INC.	/s/ Tina S. Nova, Ph.D.	Tina S. Nova, Ph.D.	President and CEO	2019-01-17
0001765284-19-000001	101	BridgeTek Capital Fund I, LLC	Tae Kim	Tae Kim	Attorney	2019-01-17
0001640958-19-000001	101	Recleim LLC	/s/ Dwayne Peterson Davis	Dwayne Peterson Davis	Principal	2019-01-17
0001764748-19-000001	101	Treehouse Real Estate Investment Trust, Inc.	/s/ Christopher Ganan	Christopher Ganan	Chief Executive Officer and President	2019-01-17
0001764816-19-000001	101	Crescent Opportunity Zone Investment Fund, LLC---Series II	Raphael J. Rabalais, Jr.	Raphael J. Rabalais, Jr.	Managing Director	2019-01-17
0001708927-19-000001	101	Intrinsic Edge Capture Offshore LTD	Jonathan Yaffe	Jonathan Yaffe	CCO	2019-01-17
0001706463-19-000004	101	Verte Capital, LLC	Leonard O Mills	Leonard O. Mills	Managing Member	2019-01-17
0001765208-19-000001	101	Vansanity, Inc.	/s/Ignacio Jose Fanlo	Ignacio Jose Fanlo	President and CEO	2019-01-16
0001765050-19-000001	101	Green Star Biosciences Inc.	Ralph Olson	Ralph Olson	CEO	2019-01-17
0001752125-19-000001	101	Serra Building, LLC	Tim Hoerr	Tim Hoerr	President	2019-01-17
0001764916-19-000001	101	Thackeray Partners Realty Fund V REIT, LLC	/s/ Victoria C. Acuff	Victoria C. Acuff	Attorney-in-Fact under Power of Attorney dated 1/15/2019	2019-01-17
0001764440-19-000002	101	NXT Water Holdings, LP	/s/	Todd Waks	Manager of General Partner	2019-01-17
0001765202-19-000001	101	Grounds of Huntsville, LLC	David Utley	David Utley	Attorney In Fact	2019-01-17
0001764817-19-000001	101	Crescent Opportunity Zone Investment Fund, LLC---Series I	Raphael J. Rabalais, Jr.	Raphael J. Rabalais, Jr.	Managing Director	2019-01-17
0001764550-19-000001	101	KCP PLUMBING HOLDINGS ACQUISITION SUB, LLC	Kelsey S. Yamaguchi	Kelsey S. Yamaguchi	ATTORNEY-IN-FACT FOR CHRIS ELDRIDGE, CEO	2019-01-17
0001679789-19-000001	101	ZEV TECHNOLOGIES, INC.	Matthew Ridenour	Matthew Ridenour	Chief Executive Officer	2019-01-17
0001437749-19-000999	101	GIGA TRONICS INC	/s/ John R. Regazzi	John R. Regazzi	Chief Executive Officer	2019-01-17
0001765144-19-000001	101	West Hill Global, LLC	Nicholas Broder	Nicholas Broder	Attorney-in-fact	2019-01-17
0000902664-19-000301	101	Caligan Partners CV I LP	/s/ Samuel Merksamer	Samuel Merksamer	Managing Member of the General Partner	2019-01-17
0001759178-19-000001	101	Oregon Venture Fund 2019, LLC	/s/ Eric Rosenfeld	Eric Rosenfeld	Manager of Capybara Management LLC, Manager	2019-01-17
0001763847-19-000001	101	Jem-IG, LLC	/s/ James D. Davis	James D. Davis	Chairman of the Manager of the Issuer	2019-01-17
0000919574-19-000479	101	Rangeley Capital Special Opportunities Fund, LP	/s/ Andrew Walker	Andrew Walker	Managing Member of the General Partner	2019-01-17
0001753402-19-000001	101	Gaucho Group, Inc.	/s/ Scott Mathis	Scott Mathis	CEO	2019-01-17
0001765277-19-000001	101	5151 HALTOM OAKS LLC	Merrill Kaliser	Merrill Kaliser	Attorney in Fact	2019-01-17
0001683878-19-000001	101	Private Markets Fund VII (Cayman) L.P.	KRISHNAKSHI DAS	KRISHNAKSHI DAS	ASSISTANT SECRETARY OF THE ADVISER	2019-01-17
0001684209-19-000002	101	Private Markets Fund VII LP	KRISHNAKSHI DAS	KRISHNAKSHI DAS	ASSISTANT SECRETARY OF THE ADVISER	2019-01-17
0000899140-19-000032	101	New Providence Reserve, LP	Stephen Miller	Stephen Miller	Authorized Signatory	2019-01-17
0000950103-19-000715	101	Grayscale Litecoin Trust (LTC)	/s/ Michael Sonnenshein	Michael Sonnenshein	Managing Director of the Sponsor	2019-01-17
0000950103-19-000714	101	Grayscale Stellar Lumens Trust (XLM)	/s/ Michael Sonnenshein	Michael Sonnenshein	Managing Director of the Sponsor	2019-01-17
0000950103-19-000713	101	Grayscale XRP Trust (XRP)	/s/ Michael Sonnenshein	Michael Sonnenshein	Managing Director of the Sponsor	2019-01-17
0001764305-19-000001	101	FundersClub MPT LLC	/s/ Caitlin Cella	Caitlin Cella	VP of Finance & Fund Operations of the Member of the Manager	2019-01-17
0001765256-19-000001	101	NP Railcar Investments III LP	Jeffrey Traum	Jeffrey Traum	Managing Director of the Manager	2019-01-17
0000950103-19-000712	101	Grayscale Horizen Trust (ZEN)	/s/ Michael Sonnenshein	Michael Sonnenshein	Managing Director of the Sponsor	2019-01-17
0000950103-19-000711	101	Grayscale Bitcoin Cash Trust (BCH)	/s/ Michael Sonnenshein	Michael Sonnenshein	Managing Director of the Sponsor	2019-01-17
0000950103-19-000710	101	Grayscale Bitcoin Trust (BTC)	/s/ Michael Sonnenshein	Michael Sonnenshein	Managing Director of the Sponsor	2019-01-17
0001611467-19-000001	101	Seattle Funding Group, Ltd.	John Odegard	John Odegard	Member	2019-01-17
0000950103-19-000708	101	Grayscale Ethereum Classic Trust (ETC)	/s/ Michael Sonnenshein	Michael Sonnenshein	Managing Director of the Sponsor	2019-01-17
0001761064-19-000002	101	Airworks Solutions, Inc.	/s/ David Morczinek	David Morczinek	President	2019-01-17
0001764123-19-000001	101	corrux, Inc.	/s/ Laura Tonnies	Laura Tonnies	Chief Executive Officer	2019-01-17
0000950103-19-000706	101	Grayscale Ethereum Trust (ETH)	/s/ Michael Sonnenshein	Michael Sonnenshein	Managing Director of the Sponsor	2019-01-17
0000950103-19-000704	101	OZDPII Private Investors LLC	/s/ Charles D. Savinar	Charles D. Savinar	Vice President, J.P. Morgan Private Investments Inc.	2019-01-17
0001633655-19-000002	101	Hudson Way Capital Partners, LP	/s/ Carrie Bass	Carrie Bass	Chief Compliance Officer of the Inv. Mgr. of the Issuer	2019-01-17
0000950103-19-000703	101	Grayscale Zcash Trust (ZEC)	/s/ Michael Sonnenshein	Michael Sonnenshein	Managing Director of the Sponsor	2019-01-17
0000905718-19-000061	101	Kora Fund LP	/s/ Daniel Jacobs	Daniel Jacobs	Senior Analyst	2019-01-17
0000950103-19-000701	101	OZOFII Private Investors Offshore Ltd.	/s/ Charles D. Savinar	Charles D. Savinar	Vice President, J.P. Morgan Private Investments Inc.	2019-01-17
0001654954-19-000568	101	Select Royalty Fund 8, LP	/s/ Scott Tyson	Scott Tyson	CFO of Managing General Partner	2019-01-11
0001633655-19-000001	101	Hudson Way Charlotte Fund, LP	/s/ Carrie Bass	Carrie Bass	Chief Compliance Officer of the Inv. Mgr. of the Issuer	2019-01-10
0001765255-19-000007	101	Term Fund 2022	/s/ Michael Woda	Michael Woda	Chief Operating Officer of the Trust Company	2019-01-17
0001765309-19-000001	101	CF THE ALCOVE INVESTMENT LLC	Kevin T. Caiaccio	Kevin T. Caiaccio	Attorney	2019-01-17
0001566063-19-000001	101	Raging Capital Offshore Fund, Ltd.	William C. Martin	William C. Martin	Director of the Issuer	2019-01-17
0000905718-19-000059	101	Kora Offshore Fund Ltd	/s/ Daniel Jacobs	Daniel Jacobs	Director	2019-01-17
0001765130-19-000001	101	Sofi Elite II J.V.	s/s Alfredo Manzur Gonzalez	Alfredo Manzur Gonzalez	Managing Venturer	2019-01-17
0000950138-19-000041	101	Communikind, Inc.	/s/ Cimeran Kapur	Cimeran Kapur	President	2019-01-17
0001704027-19-000001	101	Heartland Water Technology, Inc.	/s/ Susan C. Portin	Susan C. Portin	Senior Vice President, Business and Legal Affairs	2019-01-17
0001762198-19-000002	101	BT Select Fund I, LP	/s/ Scott E. Craig	Scott E. Craig	PEO for the General Partner, BT Funds Group, LLC	2019-01-17
0001727266-19-000001	101	Merlinio Technologies, LLC	/s/ Jonathan M. Ansel	Jonathan M. Ansell	Manager	2019-01-17
0000899140-19-000031	101	Brown Advisory Group Holdings LLC	Brett D Rogers	Brett D Rogers	General Counsel of the Manager	2019-01-17
0001765255-19-000006	101	Term Fund 2021	/s/ Michael Woda	Michael Woda	Chief Operating Officer of the Trust Company	2019-01-17
0001671843-19-000002	101	Union Re Holdings, LLC	John J. Purdy	John J. Purdy, as President of Garnet Captive Services, LLC	President	2019-01-17
0001567004-19-000001	101	TAH Core Fund, LLC	Donald Ingham	Donald Ingham	Portfolio Manager of the Issuer	2019-01-17
0001694605-19-000001	101	Highline Enhanced Qualified Ltd.	Ellen Fitzgibbon	Ellen Fitzgibbon	CCO of Highline Capital Management, L.P.	2019-01-15
0001764486-19-000001	101	ECP Opportunity II, LLC	/s/ Zach Veenstra	Manager and Member of the Manager of the Issuer	Zach Veenstra	2019-01-17
0001213900-19-000845	101	AiM Medical Robotics Inc.	/s/ Robert Cathcart	Robert Cathcart	Chief Executive Officer	2019-01-17
0001728425-19-000001	101	Pavlik Capital Partners II LLC	/s/ Sandra Pavlik	Sandra Pavlik	Manager of Issuer's Manager	2019-01-17
0001765255-19-000005	101	Term Fund 2020	/s/ Michael Woda	Michael Woda	Chief Operating Officer of the Trust Company	2019-01-17
0001764746-19-000001	101	Mantra Health, Inc.	/s/Edouard Gaussen	Edouard Gaussen	Chief Executive Officer	2019-01-16
0001765038-19-000002	101	NCP-Encore Co-Invest I, L.P.	/CHARLES F. BAIRD, JR./	CHARLES F. BAIRD, JR.	Managing Member of North Castle GP VI, L.L.C., GP of Issuer	2019-01-17
0001671843-19-000001	101	RST Re Holdings LLC	John J. Purdy	John J. Purdy, as President of Garnet Captive Services, LLC	President	2019-01-17
0000919574-19-000475	101	Senvest Technology Partners Master Fund, LP	/s/ Richard P. Mashaal	Richard P. Mashaal	Managing Member of the General Partner of the Issuer	2019-01-17
0001765255-19-000004	101	Term Fund 2019	/s/ Michael Woda	Michael Woda	Chief Operating Officer of the Trust Company	2019-01-17
0001759211-19-000002	101	Psyonic, Inc.	Aadeel Akhtar	Aadeel Akhtar	President	2019-01-17
0001765255-19-000003	101	Term Fund 2023	/s/ Michael Woda	Michael Woda	Chief Operating Officer of the Trust Company	2019-01-17
0001762977-19-000001	101	Zhen Fund COII LLC	/s/ Xiao Ping Xu	Xiao Ping Xu	Director of the Manager of the Issuer	2019-01-17
0001765187-19-000001	101	Fork & Goode, Inc.	/s/ Niyati Gupta	Niyati Gupta	Chief Executive Officer	2019-01-17
0001474506-19-000014	101	BT Opportunity Fund II, L.P.	/s/ Scott E. Craig	Scott E. Craig	PEO for the General Partner, BT Funds Group, LLC	2019-01-17
0001540509-19-000003	101	Gardenia Japan Opportunity Fund, LP	Michael E. Herzig	Michael E. Herzig	Managing Member of the General Partner	2019-01-17
0001539703-19-000001	101	GADA Holdings, LLC	John J. Purdy	John J. Purdy, as President of Garnet Captive Services, LLC	President	2019-01-17
0001765155-19-000001	101	Dove Watercraft LLC	Andrew R Dovel	Andrew R Dovel	Owner	2019-01-17
0000919574-19-000473	101	SENVEST MASTER FUND, L.P.	/s/ Richard P. Mashaal	Richard P. Mashaal	Managing Member of the General Partner of the Issuer	2019-01-17
0001765255-19-000002	101	Citadel Global Equities Fund II Ltd.	/s/ David Glockner	David Glockner	Authorized Signatory	2019-01-17
0001765255-19-000001	101	Citadel Global Equities Fund II LLC	/s/ David Glockner	David Glockner	Authorized Signatory	2019-01-17
0001664104-19-000001	101	Wearsafe Labs Holdings LLC	David Benoit	David Benoit	Co-President and Co-CEO	2019-01-17
0001763803-19-000002	101	Wellings Growth Fund I, LLC	David Utley	David Utley	Attorney In Fact	2019-01-17
0001474506-19-000013	101	BT Opportunity Fund, L.P.	/s/ Scott E. Craig	Scott E. Craig	PEO for the General Partner, BT Funds Group, LLC	2019-01-17
0001729208-19-000001	101	CommonWealth Holdings, LLC	John J. Purdy	John J. Purdy	President of Garnet Captive Services, LLC, the Program Admin	2019-01-17
0001764687-19-000001	101	Apperto Inc.	Tomas Sadous	Tomas Sadous	Chief Financial Officer	2019-01-17
0001452726-19-000001	101	Canyon Value Realization Fund, L.P.	Jonathan M. Kaplan	Jonathan M. Kaplan	General Counsel of the Investment Advisor	2019-01-17
0001754021-19-000001	101	Eureka Dimensional Stone Investors, LLC	Matthew A. Mills	Matthew A. Mills	Manager of the Manager	2019-01-17
0001762581-19-000001	101	Fantail Venture Fund LP	Murdo John Kelt	MURDO JOHN KELT	MANAGING MEMBER OF FAINTAIL VENTURES GP LLC, GENERAL PARTNER	2019-01-17
0001764646-19-000001	101	KINGSWAY FCI CO-INVESTMENT SPC - SEGREGATED PORTFOLIO ONE	Conor McNaughton	Conor McNaughton	Chief Compliance Officer, Director	2019-01-17
0001624856-19-000003	101	Cali Strong Inc.	Jeff Petersen	Jeff Petersen	Attorney for Issuer	2019-01-17
0001056544-19-000001	101	Canyon Value Realization Fund (Cayman), Ltd.	Jonathan M. Kaplan	Jonathan M. Kaplan	General Counsel of Investment Advisor and Director of Issuer	2019-01-17
0001540509-19-000002	101	PERSIMMON RESEARCH PARTNERS LP	Gregory S. Horn	Gregory S. Horn	Managing Member of Persimmon GP II, LLC, the Issuer's G.P.	2019-01-09
0001763768-19-000003	101	MBK Capital LP - Series CT	Brendan Marshall	Brendan Marshall	Authorized Person	2019-01-17
0001144204-19-001978	101	Sarasota Wealth Partners LLC	/s/ Douglas J. McClintock	Douglas J. McClintock	GC of Emigrant Bank, Managing Member of the Managing Member	2019-01-17
0001704088-19-000002	101	Vendor Assistance Fund, LP	/s/ Scott E. Craig	Scott E. Craig	PEO for the General Partner, BT Funds Group, LLC	2019-01-17
0001765150-19-000001	101	Tonk Tonk Games, Inc.	Joon Kim	Joon Kim	CEO	2019-01-17
0001553997-19-000002	101	IIOT-OXYS, Inc.	/s/ Cliff L. Emmons	Cliff L. Emmons	CEO	2019-01-16
0001405086-19-000011	101	AQR US Large Cap Value MT Fund, L.P.	/s/Boris Liberman	Boris Liberman	Authorized Signatory	2019-01-17
0001405086-19-000010	101	AQR Global Risk Premium Offshore Fund IV Ltd.	/s/Boris Liberman	Boris Liberman	Authorized Signatory	2019-01-17
0001689042-19-000001	101	PEAK ROCK CAPITAL EXECUTIVE FUND II LP	/S/ JUNG WOO CHOI	JUNG WOO CHOI	CFO OF THE MANAGING MEMBER OF THE GP OF THE ISSUER	2019-01-17
0001689043-19-000001	101	PEAK ROCK CAPITAL EXECUTIVE CREDIT FUND II LP	/S/ JUNG WOO CHOI	JUNG WOO CHOI	CFO OF THE MANAGING MEMBER OF THE GP OF THE ISSUER	2019-01-17
0001591408-19-000002	101	Gestalt Diagnostics, LLC	/s/ Dan Roark	Dan Roark	Chief Executive Officer	2019-01-17
0001540509-19-000001	101	Samuel Municipal Total Return Fund, LP	Barry Mannis	Barry Mannis	Managing Member of Samuel GP, LLC, the Issuer's G. P.	2019-01-15
0000897069-19-000035	101	AF Specialty Finance Partners, L.P.	Andrew Hallowell	Andrew Hallowell	Managing Director of the General Partner	2019-01-17
0001765165-19-000001	101	TripDoctor, LLC	/s/ Daniel D. McChesney	Daniel D. McChesney	Chief Executive Officer	2019-01-17
0001757081-19-000003	101	BlackRock Appreciation Strategy Fund, Ltd.	Aaron Ostrovsky	Aaron Ostrovsky	Director of the Investment Manager of the Issuer	2019-01-17
0001765077-19-000001	101	MVP ES FUND LIII LLC	/s/WILLIAM CLARK	WILLIAM MICHAEL CLARK	PRESIDENT OF THE MANAGER	2019-01-17
0001567619-19-001292	101	Seven Hills Capital Partners LP	/s/ William D. Davis, Jr.	William D. Davis, Jr.	Manager of the General Partner	2019-01-17
0001765058-19-000001	101	MVP ES FUND LII LLC	/s/WILLIAM CLARK	WILLIAM MICHAEL CLARK	PRESIDENT OF THE MANAGER	2019-01-17
0001765059-19-000001	101	MVP ES FUND LI LLC	/s/WILLIAM CLARK	WILLIAM CLARK	PRESIDENT OF THE MANAGER	2019-01-17
0000912253-19-000001	101	Vittoria Fund, L.P.	/s/ Charles P. Keates	Charles P. Keates	Vice President of Issuer's General Partner	2019-01-17
0001708412-19-000001	101	ScoutRFP, Inc.	/s/ Alex Yakubovich	Alex Yakubovich	CEO	2019-01-16
0001757081-19-000002	101	RW Fund, LLC	Aaron Ostrosvky	Aaron Ostrovsky	Director of the Managing Member of the Issuer	2019-01-17
0001567125-19-000001	101	Canyon Opportunistic Credit (GRF) Fund (Delaware), L.P.	Jonathan M. Kaplan	Jonathan M. Kaplan	General Counsel of the Investment Advisor	2019-01-17
0001630237-19-000001	101	Motista, LLC	/s/ Scott Magids	Scott Magids	Chief Executive Officer	2019-01-17
0001192482-19-000028	101	Asterion Industrial Infra Fund I, FCR	/s/ Jes?s Olmos Clavijo	Jes?s Olmos Clavijo	CEO of the Management Company of the Issuer	2019-01-16
0001764793-19-000001	101	TREW HOLDINGS, LLC	/S/ PHILIP D. COLLINS	PHILIP D. COLLINS	CHAIRMAN	2019-01-02
0001764792-19-000001	101	TREW MANAGEMENT HOLDINGS, LLC	/S/ PHILIP D. COLLINS	PHILIP D. COLLINS	CHAIRMAN OF THE MANAGER OF TREW MANAGEMENT HOLDINGS, LLC	2019-01-02
0001764941-19-000002	101	CVC Capital Partners Asia V L.P.	/s/ Carl John Hansen	Carl John Hansen	Director of the General Partner	2019-01-17
0001564031-19-000001	101	Angel Medical Systems Inc	David R. Fischell	David R. Fischell	CEO	2019-01-17
0001672040-19-000001	101	Innovu, Inc.	/s/ David B. Bordo	David B. Bordo	CFO	2019-01-17
0001411786-19-000002	101	FYI Ltd	Steven Quintero	Steven Quintero	Chief Compliance Officer	2019-01-17
0001528097-19-000001	101	Canyon Opportunistic Credit (GRF) Fund (Cayman), Ltd.	Jonathan M. Kaplan	Jonathan M. Kaplan	General Counsel of Investment Advisor and Director of Issuer	2019-01-17
0000919574-19-000471	101	Manikay Offshore Fund, Ltd.	/s/ Sean McDuffy	Sean McDuffy	Authorized Signatory	2019-01-17
0000919574-19-000469	101	Manikay Onshore Fund, LP	/s/ Sean McDuffy	Sean McDuffy	Authorized Signatory	2019-01-17
0001764673-19-000001	101	North County Apartments Holdings LLC	/s/ Craig Berger	Craig Berger	Manager	2019-01-17
0001748316-19-000018	101	DPIP Project Ride Series, a series of Alternative Strategies Direct Private Investment Program, LLC	/s/ Sean Nicolosi	Sean Nicolosi	Director, Alternative Investment Operations of MM	2019-01-10
0000919574-19-000467	101	Manikay Merger Onshore Fund, LP	/s/ Sean McDuffy	Sean McDuffy	Authorized Signatory of the General Partner	2019-01-17
0001515971-19-000012	101	Kodem Morphisec Investment L.P.	/s/ Avi Lindenbaum	Avi Lindenbaum	Managing Member	2019-01-17
0001762142-19-000011	101	Hedge Fund Select: ESG Domestic Opportunity Fund LLC	/s/ David Kraut	David Kraut	Managing Director of the Issuer's Managing Member	2019-01-17
0001728480-19-000001	101	Solid Power Inc.	David Jansen	David Jansen	President	2019-01-17
0001162677-19-000007	101	Westmount at Houston Street Investors LP	/s/ Clifford A. Booth	Clifford A. Booth	Manager	2019-01-17
0001764710-19-000001	101	MVP LS FUND XCVII LLC	/s/WILLIAM CLARK	WILLIAM CLARK	PRESIDENT OF THE MANAGER	2019-01-17
0001296069-19-000001	101	Canyon Balanced Fund (Cayman), Ltd.	Jonathan M. Kaplan	Jonathan M. Kaplan	General Counsel of Investment Advisor and Director of Issuer	2019-01-17
0001762142-19-000010	101	Hedge Fund Managers (Strategic) Ltd	/s/ David Kraut	David Kraut	Managing Director of the Issuer's Investment Manager	2019-01-17
0001763167-19-000001	101	East Carbon Land Co LLC	Ronald E. Wilhelm	Ronald E. Wilhelm	Manager	2019-01-17
0001765198-19-000001	101	Naya SPV II, LLC	Manu Sharma	Manu Sharma	Vice President	2019-01-17
0000919574-19-000465	101	AKO EUROPEAN LONG-ONLY FUND LTD	/s/ Nicolai Tangen	Nicolai Tangen	Authorized Person	2019-01-17
0000919574-19-000464	101	Two Sigma World Core Fund, LP	/s/ Matthew B. Siano	Matthew B. Siano, Esq.	Managing Director, General Counsel	2019-01-17
0000919574-19-000462	101	Two Sigma U.S. All Cap Core Equity Fund, LP	/s/ Matthew B. Siano	Matthew B. Siano, Esq.	Managing Director, General Counsel	2019-01-17
0001379740-19-000007	101	GT Institutional Fixed Income Fund, LP	Simone T. Meeks	Simone T. Meeks	CCO and CFO of the General Partner of the Issuer	2019-01-17
0000919574-19-000459	101	AKO EUROPEAN LONG-ONLY PARTNERS L.P.	/s/ Nicolai Tangen	Nicolai Tangen	Authorized Person	2019-01-17
0001761649-19-000001	101	ORP BLACK MOUNTAIN INVESTORS, LLC	Adam M. Levine	Adam M. Levine	Mgr. ORP Manager Holdings, LLC, Mgr, ORP Black Mountain Mana	2019-01-17
0000919574-19-000457	101	Two Sigma Risk Premia Fund, LP	/s/ Matthew B. Siano	Matthew B. Siano, Esq.	Managing Director, General Counsel	2019-01-17
0000919574-19-000456	101	AKO PARTNERS L.P.	/s/ Nicolai Tangen	Nicolai Tangen	Authorized Person	2019-01-17
0001764221-19-000002	101	Tycom, Inc.	/s/ Cade Morgan	Cade Morgan	Acting as the Attorney for the Issuer	2019-01-17
0000919574-19-000453	101	AKO FUND LTD	/s/ Nicolai Tangen	Nicolai Tangen	Authorized Person	2019-01-17
0001744282-19-000002	101	Tusk Bird P, LLC, a series of PROOF Master I, LLC	Richard Thoms	Richard Thoms	Attorney-in-fact of the Issuer	2019-01-15
0000919574-19-000452	101	Two Sigma Risk Premia Enhanced Fund, LP	/s/ Matthew B. Siano	Matthew B. Siano, Esq.	Managing Director, General Counsel	2019-01-17
0001744282-19-000001	101	PROOF Sweetgreen, LLC, a series of PROOF Master I, LLC	Richard Thoms	Richard Thoms	Attorney-in-fact of the Issuer	2019-01-15
0000919574-19-000449	101	Two Sigma International Core Fund, LP	/s/ Matthew B. Siano, Esq.	Matthew B. Siano, Esq.	Managing Director, General Counsel	2019-01-17
0000943663-19-000017	101	QS Club Fund II Feeder B SLP	/s/ Jay Takefman	Jay Takefman	Member of the Board of Managers of the GP	2019-01-17
0000948708-19-000001	101	SMITH MICRO SOFTWARE, INC	/s/ Timothy C. Huffmyer	Timothy C. Huffmyer	Chief Financial Officer	2019-01-17
0000919574-19-000447	101	Manikay Master Fund, LP	/s/ Sean McDuffy	Sean McDuffy	Authorized Signatory	2019-01-17
0000943663-19-000016	101	QS Club Fund II SCA SICAV-RAIF	/s/ Jay Takefman	Jay Takefman	Member of the Board of Managers of the GP	2019-01-17
0001760964-19-000001	101	eInfectionMD, Inc.	Madhu K. Murthy	Madhu K. Murthy	President	2019-01-16
0000919574-19-000445	101	Two Sigma Active Extension U.S. Small Cap Equity Fund, LP	/s/ Matthew B. Siano	Matthew B. Siano, Esq.	Managing Director, General Counsel	2019-01-17
0001379740-19-000006	101	GT Fixed Income Fund, LP	Simone T. Meeks	Simone T. Meeks	CCO and CFO of the General Partner of the Issuer	2019-01-17
0000919574-19-000443	101	Manikay Merger Offshore Fund, Ltd.	/s/ Sean McDuffy	Sean McDuffy	Authorized Signatory	2019-01-17
0000919574-19-000442	101	Two Sigma Absolute Return Macro Enhanced Fund, LP	/s/ Matthew B. Siano	Matthew B. Siano, Esq.	Managing Director, General Counsel	2019-01-17
0001765205-19-000001	101	Lydian Capital Partners, LP	/s/Eric Denovitzer	Eric Denovitzer	Manager of General Partner	2019-01-17
0001759287-19-000001	101	Altos Hybrid 3, L.P.	/s/ Anthony Lee	Anthony Lee	Managing Director of the General Partner of the Issuer	2019-01-17
0001764900-19-000001	101	ACE Redpoint Opportunity China, L.P.	/s/ David Yuan	David Yuan	Director of the General Partner of the General Partner	2019-01-17
0000919574-19-000439	101	Two Sigma Absolute Return Fund, LP	/s/ Matthew B. Siano, Esq.	Matthew B. Siano, Esq.	Managing Director, General Counsel	2019-01-17
0001567619-19-001270	101	PAG Special Situations Fund III L.P.	/s/ DEREK CRANE	DEREK CRANE	AUTHORIZED SIGNATORY	2019-01-15
0001764981-19-000001	101	NPC Caliva, LLC	Eric Valle	Eric Valle	General Partner	2019-01-16
0001764563-19-000001	101	ACE Redpoint Ventures China II, L.P.	/s/ David Yuan	David Yuan	Director of the General Partner of the General Partner	2019-01-17
